,title,description,originallink,link
0,걸그룹 강세 맞설 ‘쟁쟁’ 男솔로 온다[스경X초점],"<b>아이유</b>)’와 지난달 ‘니드 투 노우’를 통해 특유의 부드럽고 트렌디한 감성으로 사랑받았다. 그동안 다양한 장르의 노래를 선보이며 솔로 힙합 가수로서 독보적인 반열에 오른 가운데, 신곡 ‘바이트’는 또 어떤... ",http://sports.khan.co.kr/news/sk_index.html?art_id=202208180955013&sec_id=540301&pt=nv,https://n.news.naver.com/mnews/article/144/0000831639?sid=106
1,"이브자리 슬립앤슬립, ‘쿠잠’ 출시…항균 기능성 제품 확대",또 슬립앤슬립은 론칭 방송을 통해 구매 후 네이버 쇼핑에 포토 후기를 남기는 고객을 추첨해 <b>아이유</b> 삼각 등쿠션과 커피쿠폰을 증정하는 이벤트도 진행한다. 조은자 이브자리 수면환경연구소 부소장은 “특히 코로나19... ,http://www.edaily.co.kr/news/newspath.asp?newsid=01676086632428632,https://n.news.naver.com/mnews/article/018/0005294891?sid=101
2,<b>아이유</b> 콘서트 연습 영상 공개... &apos;잠실에서 만나요&apos;,<b>아이유</b> 콘서트 연습 영상 공개... &apos;잠실에서 만나요&apos; 사진= <b>아이유</b> 공식 트위터 가수 <b>아이유</b>가 유튜브에 콘서트 연습 영상을 올려 화제가 되고 있다. 지난 17일 <b>아이유</b>는 공식 유튜브 채널인 &apos;이지금 [IU Official]... ,http://www.ggilbo.com/news/articleView.html?idxno=929178,http://www.ggilbo.com/news/articleView.html?idxno=929178
3,"&apos;가격 무려 100배 폭등&apos;… <b>아이유</b> &apos;한정판 LP&apos;, 도대체 얼마?",가수 <b>아이유</b>(본명 이지은)의 한정판 앨범 LP 가격이 &apos;희귀템&apos;으로 등극하며 가격이 무려 100배나 상승했다.... 이날 3위에는 <b>아이유</b>의 노래 &apos;너의 의미&apos;가 이름을 올렸다. &apos;너의 의미&apos;의 원곡자는 가수 김창완이다.... ,http://moneys.mt.co.kr/news/mwView.php?no=2022081808230554321,https://n.news.naver.com/mnews/article/417/0000843788?sid=106
4,"이동국 전축구국가대표-한국펩시콜라, 한부모여성 가정에 2천만 원 기부","또한 펩시 및 게토레이의 프리미어 파트너로 활약중인 전 국가대표 피겨스케이팅 선수 김연아, 가수 <b>아이유</b>, 가수 아이브 싸인이 담긴 &apos;펩시 콜라보 삼성 갤럭시 Z플립3&apos;  다섯 세트를 한부모여성 가정 자녀를 대상으로... ",http://www.stnsports.co.kr/news/articleView.html?idxno=153534,https://sports.news.naver.com/news.nhn?oid=450&aid=0000086838
5,"이동국X한국펩시콜라, 한부모여성 가정에 2천만원 기부","또한 펩시 및 게토레이의 프리미어 파트너로 활약중인 전 국가대표 피겨스케이팅 선수 김연아, 가수 <b>아이유</b>, 가수 아이브 싸인이 담긴 &apos;펩시 콜라보 삼성 갤럭시 Z플립3&apos;  다섯 세트를 한부모여성 가정 자녀를 대상으로... ",http://www.slist.kr/news/articleView.html?idxno=377490,http://www.slist.kr/news/articleView.html?idxno=377490
6,학비만 약 6억! 스타들이 선택한 유학지는 (연중 라이브),"1억을 쾌척한 유재석과 <b>아이유</b>, 박재범에 이어 침수 피해를 입은 동료를 위해 나선 스타들까지. 수재민들의 일상 회복을 위해 따듯한 손길을 내민 스타들을 소개한다. 이어서, 세계 곳곳에서 멋진 휴가를 즐기는 스타들!... ",http://sports.chosun.com/news/ntype.htm?id=202208190100127960007807&servicedate=20220818,https://n.news.naver.com/mnews/article/076/0003906014?sid=106
7,"공효진·케빈오 결혼, &apos;연중 라이브&apos; 헤드라인…김지민 개릴라 데이트","1억을 쾌척한 유재석과 <b>아이유</b>, 박재범에 이어 침수 피해를 입은 동료를 위해 나선 스타들까지. 수재민들의 일상 회복을 위해 따듯한 손길을 내민 스타들을 소개한다 사진=KBS 2TV &apos;연중 라이브&apos; &apos;개릴라... ",http://www.slist.kr/news/articleView.html?idxno=377451,http://www.slist.kr/news/articleView.html?idxno=377451
8,<b>아이유</b> &apos;한정판 LP&apos; 3만원→300만원…리셀가 &apos;폭등&apos;,가수 <b>아이유</b>(본명 이지은)의 한정판 앨범 LP 가격이 8년 만에 100배 상승한 것으로 조사됐다. 지난 17일 Mnet 예능 &apos;TMI NEWS SHOW&apos;는 &apos;네곡내곡! 원곡을 삼킨 리메이크곡 BEST 10&apos;이라는 주제로 꾸며졌다. 이날 방송에서 <b>아이유</b>... ,http://news.mt.co.kr/mtview.php?no=2022081806304549419,https://n.news.naver.com/mnews/article/008/0004784263?sid=106
9,100억 이상 부자 사주? 선우 “종교 없어서 뭐든 믿어야” (TMI뉴스쇼)[어제T...,"한편 이날 방송에서 공개된 리메이크곡 베스트10에는 조정석 ‘아로하’, <b>아이유</b> ‘너의 의미’, 빅뱅 ‘붉은 노을’, 성시경 ‘너에게’, 최준 ‘커피 한잔 할래요’, 이승기 ‘제발’, 샤이니 ‘줄리엣’, MSG워너비... ",https://www.newsen.com/news_view.php?uid=202208180600471710,https://n.news.naver.com/mnews/article/609/0000616410?sid=106
10,"<b>아이유</b>, 리메이크 앨범 한정판 LP 리셀가 3백만원 (TMI뉴스쇼)[결정적장면]",뉴스엔 유경상 yooks@ <b>아이유</b> 리메이크 앨범 한정판 LP가 리셀가 3백만원으로 알려졌다. 8월 17일 방송된... 이날 방송에서 공개된 리메이크곡 베스트 3위는 <b>아이유</b> ‘너의 의미’. ‘너의 의미’ 원곡은 김창완으로... ,https://www.newsen.com/news_view.php?uid=202208180601291710,https://n.news.naver.com/mnews/article/609/0000616411?sid=106
11,"[종합] <b>아이유</b> 한정판 LP, 100배 가격에 거래…원곡 삼킨 리메이크곡 BEST 10...",3위에는 <b>아이유</b>와 원곡자 김창완이 함께 리메이크한 ‘너의 의미’. <b>아이유</b>는 해당 곡을 리메이크한 이유로 짝사랑한 사람이 즐겨 듣던 노래라고 밝혀 놀라움을 안기기도 했다. 4위는 많은 히트곡을 배출한 그룹... ,https://tenasia.hankyung.com/tv/article/2022081703414,https://n.news.naver.com/mnews/article/312/0000564455?sid=106
