TM,CA_TOT,SS_DAY
20150101,3.4,7.8
20150102,3.1,7.1
20150103,3.7,5.8
20150104,3.1,6.2
20150105,6.5,5.1
20150106,3.6,7.8
20150107,1.8,7.8
20150108,0.6,8.2
20150109,5,3.1
20150110,0.3,8
20150111,2.1,7.2
20150112,0,8.3
20150113,4.9,6.7
20150114,9,0
20150115,3.8,4.4
20150116,8.4,0
20150117,1,8.6
20150118,5.1,7
20150119,6.6,2.9
20150120,3.6,8.2
20150121,9.1,0
20150122,8.9,0
20150123,4.8,2.3
20150124,5.9,3.8
20150125,9.1,0.2
20150126,9.6,0.6
20150127,3.1,6.9
20150128,2.8,7.5
20150129,9.6,0.3
20150130,4.1,7.5
20150131,0,8.9
20150201,0.1,8.9
20150202,3,6.3
20150203,4.6,7.3
20150204,3.4,4.9
20150205,2.4,7.9
20150206,1.9,8.8
20150207,6.1,3
20150208,2.1,9.2
20150209,3.6,7.9
20150210,4.1,8.8
20150211,4.1,3.6
20150212,0.3,9.5
20150213,0,9.7
20150214,2.1,6.8
20150215,9.3,2.4
20150216,10,0
20150217,9.4,3.3
20150218,8.4,0
20150219,2.5,8.4
20150220,4.5,8
20150221,10,0
20150222,7.4,5.4
20150223,5.3,6.2
20150224,3.1,8.2
20150225,8.4,6.1
20150226,4.3,7.9
20150227,4,9.8
20150228,7.9,0.1
20150301,5.5,5.8
20150302,0,10
20150303,9.1,0.5
20150304,1.1,9.9
20150305,2.6,9.1
20150306,0.5,10
20150307,1,10.2
20150308,2.8,9.3
20150309,4.3,8.7
20150310,1.5,10.4
20150311,3.3,9.1
20150312,2.5,10.7
20150313,4.9,6.9
20150314,2.6,9.1
20150315,2.5,9.9
20150316,2.3,9.4
20150317,6.8,5.5
20150318,9.9,0
20150319,3.3,10.8
20150320,5.8,7.3
20150321,0.9,9.6
20150322,0,9.8
20150323,0,11.1
20150324,0,11.1
20150325,0,11.2
20150326,0,11.5
20150327,1,9.9
20150328,3.6,10.1
20150329,3.9,6.5
20150330,0.4,10.4
20150331,8.6,0
20150401,9.4,0.3
20150402,7.4,8.1
20150403,7.9,1.6
