TM,CA_TOT,HM_AVG,RN_DAY
20150101,3.4,51.1,0.1
20150102,3.1,53.6,0
20150103,3.7,59.6,-9
20150104,3.1,68.8,-9
20150105,6.5,79.4,2
20150106,3.6,58.8,5
20150107,1.8,38.5,-9
20150108,0.6,56,-9
20150109,5,74,-9
20150110,0.3,63.4,-9
20150111,2.1,61.8,0
20150112,0,44,-9
20150113,4.9,54.3,-9
20150114,9,58.3,-9
20150115,3.8,51.3,-9
20150116,8.4,77,0.4
20150117,1,48.5,-9
20150118,5.1,66.1,2.6
20150119,6.6,70.6,0
20150120,3.6,59.6,-9
20150121,9.1,70.4,2
20150122,8.9,81.5,3
20150123,4.8,75.3,-9
20150124,5.9,65.3,-9
20150125,9.1,76.6,0.4
20150126,9.6,89.1,0.5
20150127,3.1,58.8,-9
20150128,2.8,48.9,-9
20150129,9.6,69.9,0
20150130,4.1,50.6,0
20150131,0,45.5,-9
20150201,0.1,48.6,-9
20150202,3,48.9,-9
20150203,4.6,51.6,-9
20150204,3.4,67.6,0
20150205,2.4,59.4,-9
20150206,1.9,56.3,-9
20150207,6.1,61.4,-9
20150208,2.1,45.9,0
20150209,3.6,46.1,0
20150210,4.1,53.3,-9
20150211,4.1,61.4,-9
20150212,0.3,37.8,-9
20150213,0,36.5,-9
20150214,2.1,61,-9
20150215,9.3,62.8,1
20150216,10,90.4,17.5
20150217,9.4,72.1,0.2
20150218,8.4,70,-9
20150219,2.5,61.1,-9
20150220,4.5,55,-9
20150221,10,77.1,5.5
20150222,7.4,73.5,2
20150223,5.3,57.4,-9
20150224,3.1,54.9,-9
20150225,8.4,46.1,-9
20150226,4.3,45,0.3
20150227,4,37.9,-9
20150228,7.9,47.5,-9
20150301,5.5,61.3,0.5
20150302,0,42.9,-9
20150303,9.1,54.4,0.5
20150304,1.1,40.1,-9
20150305,2.6,43.8,-9
20150306,0.5,41.5,-9
20150307,1,39.6,-9
20150308,2.8,39.4,-9
20150309,4.3,33.6,-9
20150310,1.5,33.4,-9
20150311,3.3,44.6,0
20150312,2.5,33.6,-9
20150313,4.9,46.6,3
20150314,2.6,36.1,-9
20150315,2.5,38.8,-9
20150316,2.3,32.1,-9
20150317,6.8,35,-9
20150318,9.9,80.9,36.5
20150319,3.3,61.1,-9
20150320,5.8,39.3,-9
20150321,0.9,35.8,-9
20150322,0,43.1,-9
20150323,0,29.9,-9
20150324,0,33.5,-9
20150325,0,33.4,-9
20150326,0,33,-9
20150327,1,32.1,-9
20150328,3.6,32.3,0
20150329,3.9,47.9,0.1
