,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도,상호명_소문자,브랜드명
1104,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 이태원로 188,126.994781275664,37.5343029422413,스타벅스,스타벅스
1675,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,영등포구,신길1동,신길동,서울특별시 영등포구 영등포로 353,126.918061930143,37.5151175359347,이디야커피,이디야
2023,스타벅스종로3가점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,종로구,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로 113-1,126.990207240455,37.5705850186896,스타벅스종로3가점,스타벅스
2770,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서초구,잠원동,잠원동,서울특별시 서초구 강남대로 581,127.019762756075,37.5136626341355,스타벅스,스타벅스
2957,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,구로구,구로3동,구로동,서울특별시 구로구 디지털로32길 43,126.897869806414,37.4843854057524,이디야커피,이디야
8534,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,노원구,중계1동,중계동,서울특별시 노원구 노원로22길 34,127.072753764215,37.646364068414,이디야커피,이디야
13913,이디아,음식,커피점/카페,커피전문점/카페/다방,서울특별시,마포구,상암동,상암동,서울특별시 마포구 월드컵북로 375,126.890828379752,37.5773969503192,이디아,이디야
14605,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,성동구,금호2.3가동,금호동3가,서울특별시 성동구 장터길 17-1,127.017791215024,37.5484267689606,이디야커피,이디야
14770,스타벅스커피여의도IFC1F,음식,커피점/카페,커피전문점/카페/다방,서울특별시,영등포구,여의동,여의도동,서울특별시 영등포구 국제금융로 10,126.924863083917,37.5251722235016,스타벅스커피여의도ifc1f,스타벅스
14781,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,삼성1동,삼성동,서울특별시 강남구 테헤란로103길 9,127.063878213052,37.5100378471739,스타벅스,스타벅스
15154,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,종로구,창신1동,창신동,서울특별시 종로구 종로 316-1,127.012907975586,37.5720204539642,이디야커피,이디야
15158,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,대치2동,대치동,서울특별시 강남구 테헤란로104길 8,127.064789913491,37.5085853583327,이디야커피,이디야
15342,이디야IBK고객센터,음식,커피점/카페,커피전문점/카페/다방,서울특별시,용산구,한남동,한남동,서울특별시 용산구 한남대로 72,127.007036466984,37.5350553803212,이디야ibk고객센터,이디야
15428,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,동대문구,이문1동,이문동,서울특별시 동대문구 휘경로 12,127.061252936653,37.595841955415,이디야커피,이디야
15857,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,관악구,서원동,신림동,서울특별시 관악구 신림로 330,126.930215862294,37.4838447505118,스타벅스,스타벅스
15925,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,종로구,부암동,홍지동,서울특별시 종로구 홍지문2길 6,126.95630560715,37.6012317706309,이디야커피,이디야
16136,스타벅스신림사거리점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,관악구,신림동,신림동,서울특별시 관악구 남부순환로 1619,126.930487328505,37.4846311218944,스타벅스신림사거리점,스타벅스
17340,대신이디아이서원주유소,생활서비스,주유소/충전소,주유소,서울특별시,서초구,서초3동,서초동,서울특별시 서초구 반포대로 142,127.007551991171,37.4927193086401,대신이디아이서원주유소,이디야
