시도구군,시도,구군,count,인구수,mc_ratio
강원도 강릉시,강원도,강릉시,4,212260,1.884481296523132
강원도 동해시,강원도,동해시,1,89683,1.1150385245810244
강원도 삼척시,강원도,삼척시,1,64046,1.5613777597351903
강원도 속초시,강원도,속초시,1,83035,1.2043114349370747
강원도 양구군,강원도,양구군,1,21555,4.6392948271862675
강원도 영월군,강원도,영월군,1,37909,2.6378960141391223
강원도 원주시,강원도,원주시,2,359888,0.5557284488507536
강원도 정선군,강원도,정선군,2,35282,5.668612890425712
강원도 춘천시,강원도,춘천시,5,286050,1.7479461632581716
강원도 태백시,강원도,태백시,1,40029,2.498188813110495
강원도 홍천군,강원도,홍천군,1,67784,1.4752744010385932
경기도 가평군,경기도,가평군,1,62297,1.60521373420871
경기도 고양시,경기도,고양시,4,1078189,0.3709924697803446
경기도 남양주시,경기도,남양주시,5,736864,0.6785512659052417
경기도 동두천시,경기도,동두천시,1,92840,1.077121930202499
경기도 부천시,경기도,부천시,1,797855,0.1253360573036454
경기도 성남시,경기도,성남시,2,925981,0.21598715308413458
경기도 수원시,경기도,수원시,1,1185184,0.08437508437508437
경기도 시흥시,경기도,시흥시,1,513768,0.1946403824294234
경기도 안산시,경기도,안산시,2,648164,0.30856388198048645
경기도 안성시,경기도,안성시,1,190160,0.5258729490954985
경기도 양주시,경기도,양주시,1,237889,0.42036411940022445
경기도 양평군,경기도,양평군,1,122671,0.8151885938811945
경기도 여주시,경기도,여주시,1,112731,0.8870674437377474
경기도 용인시,경기도,용인시,4,1078451,0.37090234048649406
경기도 의정부시,경기도,의정부시,1,463934,0.21554790121008593
경기도 이천시,경기도,이천시,1,224603,0.4452300280940148
경기도 파주시,경기도,파주시,1,488608,0.2046630427663894
경기도 평택시,경기도,평택시,1,573987,0.174219973623096
경기도 포천시,경기도,포천시,2,147902,1.3522467579883979
경기도 화성시,경기도,화성시,1,897883,0.11137308535744635
경상남도 거창군,경상남도,거창군,2,60531,3.3040921180882523
경상남도 김해시,경상남도,김해시,1,536065,0.18654454217305735
경상남도 남해군,경상남도,남해군,1,42015,2.380102344400809
